resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fastestLapTime_seconds
198,27,3,3,7,13,10,10,10,0.0,67,+37.625,34,15,1:17.380,212.799,1,77.38
199,27,4,4,5,5,11,11,11,0.0,67,+38.600,17,13,1:17.115,213.530,1,77.115
200,27,7,5,14,15,12,12,12,0.0,67,+39.111,63,10,1:16.969,213.935,1,76.969
201,27,14,9,9,10,13,13,13,0.0,67,+54.971,18,11,1:16.994,213.866,1,76.994
202,27,6,3,8,16,14,14,14,0.0,67,+1:00.003,23,17,1:17.691,211.947,1,77.691
203,27,16,10,20,19,15,15,15,0.0,67,+1:09.488,66,18,1:17.889,211.408,1,77.889
204,27,21,10,21,20,16,16,16,0.0,67,+1:24.093,67,20,1:18.208,210.546,1,78.208
205,27,18,11,16,14,17,17,17,0.0,66,\N,56,16,1:17.636,212.097,11,77.636
209,28,5,1,23,2,1,1,1,10.0,70,1:37:27.067,19,7,1:21.753,192.917,1,81.753
210,28,10,7,12,5,2,2,2,8.0,70,+11.061,42,6,1:21.671,193.111,1,81.671
211,28,8,6,1,6,3,3,3,6.0,70,+16.856,61,1,1:21.195,194.243,1,81.195
212,28,4,4,5,7,4,4,4,5.0,70,+21.614,47,8,1:21.793,192.823,1,81.793
213,28,1,1,22,1,5,5,5,4.0,70,+23.048,15,3,1:21.493,193.533,1,81.493
214,28,12,4,6,10,6,6,6,3.0,70,+32.298,64,4,1:21.537,193.428,1,81.537
215,28,15,7,11,9,7,7,7,2.0,70,+36.449,65,5,1:21.638,193.189,1,81.638
216,28,9,2,4,4,8,8,8,1.0,70,+48.321,70,9,1:21.941,192.475,1,81.941
217,28,17,9,10,8,9,9,9,0.0,70,+58.834,67,10,1:22.125,192.043,1,82.125
218,28,2,2,3,15,10,10,10,0.0,70,+1:07.709,67,11,1:22.183,191.908,1,82.183
219,28,14,9,9,13,11,11,11,0.0,70,+1:10.407,67,16,1:22.732,190.634,1,82.732
220,28,18,11,16,12,12,12,12,0.0,69,\N,63,13,1:22.397,191.409,11,82.397
221,28,6,3,8,16,13,13,13,0.0,69,\N,67,18,1:23.307,189.319,11,83.307
222,28,3,3,7,14,14,14,14,0.0,69,\N,57,12,1:22.397,191.409,11,82.397
223,28,21,10,21,18,15,15,15,0.0,69,\N,68,15,1:22.641,190.844,11,82.641
224,28,22,11,17,17,16,16,16,0.0,68,\N,65,14,1:22.436,191.319,12,82.436
225,28,13,6,2,3,17,17,17,0.0,67,\N,16,2,1:21.355,193.861,5,81.355
226,28,7,5,14,19,18,18,18,0.0,67,\N,29,17,1:23.220,189.516,13,83.22
229,29,13,6,2,1,1,1,1,10.0,57,1:35:32.339,36,1,1:38.708,197.637,1,98.708
230,29,1,1,22,2,2,2,2,8.0,57,+5.611,16,2,1:38.884,197.285,1,98.884
231,29,9,2,4,3,3,3,3,6.0,57,+37.353,38,4,1:39.330,196.399,1,99.33
232,29,5,1,23,5,4,4,4,5.0,57,+39.703,19,3,1:39.112,196.831,1,99.112
233,29,15,7,11,7,5,5,5,4.0,57,+50.684,37,12,1:39.657,195.755,1,99.657
234,29,20,5,15,6,6,6,6,3.0,57,+52.625,36,6,1:39.485,196.093,1,99.485
235,29,10,7,12,13,7,7,7,2.0,57,+1:07.990,54,8,1:39.535,195.995,1,99.535
236,29,3,3,7,9,8,8,8,1.0,57,+1:11.457,35,10,1:39.577,195.912,1,99.577
237,29,2,2,3,8,9,9,9,0.0,57,+1:22.177,57,7,1:39.526,196.013,1,99.526
238,29,7,5,14,10,10,10,10,0.0,57,+1:29.794,35,11,1:39.639,195.790,1,99.639
239,29,12,4,6,15,11,11,11,0.0,57,+1:32.717,29,9,1:39.544,195.977,1,99.544
240,29,17,9,10,14,12,12,12,0.0,56,\N,27,14,1:40.264,194.570,11,100.264
241,29,18,11,16,16,13,13,13,0.0,56,\N,21,18,1:40.763,193.606,11,100.763
242,29,21,10,21,18,14,14,14,0.0,56,\N,54,15,1:40.353,194.397,11,100.353
243,29,6,3,8,11,15,15,15,0.0,56,\N,56,13,1:39.803,195.469,11,99.803
244,29,22,11,17,19,16,16,16,0.0,56,\N,56,16,1:40.593,193.933,11,100.593
245,29,14,9,9,17,17,17,17,0.0,56,\N,13,19,1:40.978,193.194,11,100.978
249,30,13,6,2,2,1,1,1,10.0,44,1:22:59.394,26,3,1:48.222,232.987,1,108.222
250,30,2,2,3,5,2,2,2,8.0,44,+9.383,36,7,1:49.067,231.182,1,109.067
251,30,1,1,22,1,3,3,3,6.0,44,+10.539,20,2,1:48.135,233.175,1,108.135
252,30,4,4,5,6,4,4,4,5.0,44,+14.478,25,9,1:49.238,230.820,1,109.238
253,30,20,5,15,10,5,5,5,4.0,44,+14.576,16,8,1:49.086,231.142,1,109.086
254,30,9,2,4,8,6,6,6,3.0,44,+15.037,36,5,1:48.965,231.399,1,108.965
255,30,7,5,14,9,7,7,7,2.0,44,+16.735,31,6,1:49.002,231.320,1,109.002
256,30,17,9,10,7,8,8,8,1.0,44,+42.776,34,10,1:49.515,230.236,1,109.515
257,30,10,7,12,13,9,9,9,0.0,44,+1:07.045,37,12,1:50.255,228.691,1,110.255
258,30,5,1,23,3,10,10,10,0.0,43,\N,35,4,1:48.223,232.985,6,108.223
259,30,14,9,9,14,11,11,11,0.0,43,\N,19,11,1:50.177,228.853,11,110.177
260,30,3,3,7,15,12,12,12,0.0,43,\N,32,15,1:50.656,227.862,11,110.656
261,30,16,10,20,18,13,13,13,0.0,43,\N,27,13,1:50.487,228.211,11,110.487
262,30,6,3,8,19,14,14,14,0.0,43,\N,35,17,1:50.970,227.218,11,110.97
263,30,18,11,16,17,15,15,15,0.0,43,\N,19,16,1:50.671,227.832,11,110.671
264,30,15,7,11,11,16,16,16,0.0,43,\N,32,14,1:50.543,228.095,11,110.543
265,30,21,10,21,20,17,17,17,0.0,43,\N,17,19,1:51.701,225.731,11,111.701
266,30,8,6,1,4,18,18,18,0.0,42,\N,24,1,1:47.930,233.618,20,107.93
269,31,20,5,15,1,1,1,1,10.0,53,1:26:47.494,53,14,1:30.510,230.414,1,90.51
270,31,5,1,23,2,2,2,2,8.0,53,+12.512,53,13,1:30.300,230.950,1,90.3
271,31,9,2,4,11,3,3,3,6.0,53,+20.471,52,12,1:30.298,230.955,1,90.298
272,31,4,4,5,8,4,4,4,5.0,53,+23.903,51,9,1:29.961,231.820,1,89.961
273,31,2,2,3,10,5,5,5,4.0,53,+27.748,53,6,1:29.807,232.217,1,89.807
274,31,13,6,2,6,6,6,6,3.0,53,+28.816,52,4,1:29.696,232.505,1,89.696
275,31,1,1,22,15,7,7,7,2.0,53,+29.912,52,5,1:29.721,232.440,1,89.721
276,31,17,9,10,3,8,8,8,1.0,53,+32.048,52,3,1:29.681,232.544,1,89.681
